title,description
Ain't I A Woman: Black Women and Feminism,"Examines the experiences of Black women during slavery, explains why
the issues of racism and sexism are intertwined, and looks at the role
of Black women in the feminist movement"
"Reason To Believe (Silhouette Intimate Moments, No 164)","She helped him escape, then disappeared."
SELFTALK SOLUTION,"The Self-Talk Solution contains revealing self-tests that help readers
discover the negative messages they have really been giving
themselves."
Faces in the Forest: First Nations Art Created on Living Trees,"In Faces in the Forest Michael Blackstock, a forester and an artist,
takes us into the sacred forest, revealing the mysteries of carvings,
paintings, and writings done on living trees by First Nations people."
Flux: Tales of Human Futures,"Seven tales of possible fates for the human race portray the inner
struggles of characters exploring their hidden selves"
Never Tease A Wolf,"Never Tease A Wolf by Joan Johnston released on Mar 23, 2001 is
available now for purchase."
Prisoners in Paradise: American Women in the Wartime South Pacific,"Draws on letters &amp; diaries of American wives, missionaries,
teachers, nurses, and spies to uncover their heroic tales while
captives of the Japanese during World War II."
"Fear Games (Nightmare Room Thrillogy, 1)","Twelve kids with special abilities have been selected to take part in
a survival competition called Life Games."
Gedichte Ã?Â¼ber die Liebe.,"Brecht, der als Verächter aller Natur galt, entpuppt sich hier als
Apologet der menschlichen Natur..."
The Collector's Encyclopedia of Brush-McCoy Pottery: Updated Values,"This beautiful book is filled with photos of more than 700 actual
Brush-McCoy pieces, each described with name, date, mark, size, and
current value."
Hindsights : The Wisdom and Breakthroughs of Remarkable People,"Presented in letter form, here are private messages of hope from 33
exceptional individuals--including actress/model Renee Russo, jazz
musician Herbie Hancock and Body Shop founder Anita Roddick--which
will inspire others to overcome their ..."
Once Upon a Potty : His,"Explains in simple text and illustrations why and how a little boy
uses a potty."
Frontier Inventory,"Looks at a troubled family torn apart by distorted affections, mutual
recriminations, and unspeakable secrets focuses on the lives of two
sister, June and Tracy and their parents, neighbors, friends, and
lovers"
"Baby: Macallister - Made (The Baby Bet) (Desire, 1326)","Baby: MacAllister-Made by Joan Elliott Pickart released on Sep 22,
2000 is available now for purchase."
EYEBALLS FOR MIDNIGHT SNACK : EYEBALLS FOR MIDNIGHT SNACK,"Murphy, Ashley, and their classmates spend a week in a forest
classroom learning about nature."
The Shepherd of the Hills,"A stranger to the Ozark hills follows an old trail which leads him to
an understanding of their mystical power"
Reading in Bed: Personal Essays on the Glories of Reading,"This volume collects what 22 writers (e.g., Italo Calvino, Vladimir
Nabokov, Henry Miller) have to say about reading. Fluff up the pillow
and settle in for a good read."
Baseball's Most Wanted: The Top 10 Book of Nat'L Pastime's Outrageous Offenders (Brassey's Most Wanted),"Edd Roush was once ejected from a game for falling asleep in the
outfield."
"Fun with the Family in Michigan, 4th: Hundreds of Ideas for Day Trips with the Kids","This guide includes up-to-the-minute information on family
attractions, detailed maps, quick reference icons, age-appropriate
guidelines, kid-friendly restaurants and places to stay."
A Spanish Lover,"Follows the divergent paths of Lizzie and Frances, a pair of nearly
identical twin sisters, one of whom shocks the family by taking a
married lover"
Cinderfella (Faerie Tale Romance),"The daughter of a wealthy Kansas cattle tycoon, Charmaine is given a
royal welcome on her return from Boston--a masquerade."
Wild Rapture,"Alluring Amber Courtney is blackmailed into marrying arrogant Nicholas
Chandler, but she vows that she will never love him"
An Old-Fashioned 1 2 3 Book (Picture Puffins),"Verses and turn-of-the-century art introduce the numbers from one to
ten."
Green House,"The brothel founded by Anselmo on the outskirts of Puira affects both
the Latin American city and the mission deep in the jungle"
Lightning on the Sun: A Novel,"A thriller set in modern-day Cambodia and New York City follows the
adventures of would-be drug smuggler Asher, his partner, Julie, and
his unwitting journalist &quot;mule,&quot; Reese."
The Holy Bible: King James Version,"An inexpensive paperback Bible priced for purchase in large
quantities."
Collins Gem Sas Survival Guide (Collins Gem),"Do you wonder how you would manage if you were lost and had to set up
an improvised camp? Can you tie knots or make basic weather forecasts?
All the above and more are covered in this survival guide"
Japanese Family-Style Recipes,"The book also contains a recipe table with nutrition analysis. This
beautifully illustrated collection of fifty-three recipes represents
the best of Japanese home cooking, ranging from soups and main dishes
to snacks and desserts."
When the Wind Blows,"From the author of the acclaimed &quot;All Fall Down&quot; comes this
story of a single father who, according to a death certificate, died
as an infant 30 years ago in a town he never heard of."
When Women Were Priests : Women's Leadership in the Early Church and the Scandal of Their Subordination in,"This landmark book reveals not only that women were priests, bishops,
and prophets in early Christianity, but also how and why they were
then suppressed."
Errors in English and Ways to Correct Them : Fourth Edition,"An excellent guide to improving diction, punctuation, spelling, word
usage, sentence structure, and grammar that uses extensive exercises
and examples."
Bookworm (Road to Reading. Mile 1),"While all the animals help Owl build a house, Bookworm reads, but they
welcome him inside anyway when the snow comes."
Hang in 'Til The Miracle Happens,"Ruth Fishel shows the reader that the moment they let go of fear and
be present in the moment, miracles can happen. Uplifting, encouraging
and moving, this is a perfect book to be sold near your cash register
for impulse buying."
Successful Presentations for Dummies,"Kushner explores the actual preparation for a presentation, including
research, knowledge of the audience, and dealing with audience
reactions, both positive and negative. Cartoons."
Johnny Under Ground,"Chief Inspector Henry Tibbett of Scotland Yard helps his wife reveal
the mystery behind the murder of her old flame."
A Shroud for a Nightingale,"The mysterious and tragic deaths of two student nurses send Adam
Dalgliesh, Chief Superintendent of Scotland Yard to hunt the vicious
killer seeking refuge in the Nightingale House"
Best of Friends: A Coupon Gift of Love and Thanks (Coupon Collections),44 delightful coupons for my dear friend
"Godzilla Invades America (Godzilla Digest Novels , No 2)","When an experiment gone wrong in the Nevada desert causes giant
insects to go on a rampage in the Southwest, Godzilla rises from the
Pacific Ocean, and only Tomo, a boy who can communicate with animals,
knows whether Godzilla will fight the ..."
What a woman wants,"What A Woman Wants by Tori Carrington released on Oct 25, 2002 is
available now for purchase."
Temperatures Rising,"To Chantal duPont, the people who want to build the new Coral Reef
resort are enemies who can only destroy her tropical island home, but
her perspective changes when she falls for developer Scout Ritland.
Reissue."
Herotica 4: A New Collection of Erotic Writing by Women (Herotica),Twenty-nine erotic stories by women.
Edmonton: Secrets of The City,"Two-colour throughout, Edmonton: Secrets of the City includes numerous
contemporary and historical photographs."
Herbal Yearbook,"A sumptuous gift item, this colorful yearbook is also highly
informative."
Past caring,"A bewitching and intriguing tale of reincarnation and familial love,
which explores the true nature of identity."
Little : A Novel,"Residents of Poverty, a small reservation town in Minnesota, tell
their own stories and reveal the layers of family secrets that lead to
the mystery surrounding an eight-year-old boy named Little"
Ahead of Time: My Early Years as a Foreign Correspondent,"Long before feminism became a potent force in our time, Ruth Gruber
was already blazing a trail for later generations of women."
"Her Klingon Soul (Star Trek Voyager: Day of Honor, Book 3)","Even light-years from the Klingon Empire, the Day of Honor remains an
occasion of great importance."
Theme-A-Saurus: The Great Big Book of Mini Teaching Themes,"Contains over six hundred activities for students in grades three
through six, grouped by theme in more than fifty categories, including
art ideas, science and language activities, learning games, songs, and
snack recipes."
Killer's Wake,"Despite the lure of the sea, the heir to an ancient earldom
reluctantly returns to his British home to protect valuable paintings
belonging to his family--a treasure that someone is willing to kill
for"
Enchantress,"Against the lush background of the ancient Welsh Border Lands, Garrick
Maginnis turns to raven-haired beauty Morgana for help in finding his
son, but the two soon discover that they share a raging passion.
Reissue."
Kids' Computer Creations: Using Your Computer for Art & Craft Fun (Williamson Kids Can Books),"Discusses ways to use your computer and its equipment to create
handicrafts, art works, and riddle fortune cookies."
Bxc Surprise Island,"The children share a mysterious island for the summer with their
grandfather."
My Lover's Lover,"Falling in love at first sight with the mysterious architect Marcus,
Lily finds herself moved into his waterfront loft within a week, where
she learns about his ex-girlfriend, Sinead, who seems to have
disappeared abruptly and whose ..."
Science Starter (A Child's First Library of Learning),"Questions and answers provide information about what a mirage is, why
milk turns sour, how a lunar eclipse occurs, and other scientific
phenomena. Includes charts, diagrams, and an activities section."
Dangerous Marine Creatures (Diversification Series),"Each creature is illustrated with a color photograph for
identification."
Speaking With the Devil: Exploring Senseless Acts of Evil,"&quot;The most well-crafted elaboration of (evil) that I have read to
date...Goldberg has done a superlative job in approaching the nodal
point of modern theology and contemporary
psychoanalysis.&quot;-Psychoanalytic Books."
"The Sheriff & The Amnesiac (Silhouette Desire, No. 1461)","The Sheriff &amp; The Amnesiac by Ryanne Corey released on Aug 23,
2002 is available now for purchase."
Spiritual Divorce: Divorce As a Catalyst for an Extraordinary Life,"This empowering guide shows how the collapse of a marriage is, at
root, a spiritual wake-up call, an opportunity to liberate ourselves
and reclaim our lives. The end of a relationship -- no matter who ends
it -- is a damaging moment."
Mortal gods: A novel,Bio-engineering has become commonplace.
Research on the Education of Our Nation's Teachers : Teacher Education Yearbook V (Teacher Education),"Focusing on the education of teachers in the United States, this
volume addresses the areas of context, process, curriculum and
communication."
Top Performance: How to Develop Excellence in Yourself and Others,"Offers advice for people in leadership positions on how to encourage
workers to achieve their full potential"
AUTOBIOGRAPHY OF FBI SPECIAL AGENT DALE COOPER,Beyond the coffee and doughnuts--the real Agent Cooper.
Lluvia de oro,Spanish title: Lluvia de oro.
"Selling Hitler: The Extraordinary Story of the Con Job of the Century--The Faking of the Hitler \Diaries\""""","Chronicles the story of the creation, manufacture, and sale of the
fraudulent &quot;Hitler Diaries,&quot; a con game that successfully
fooled leading historians and publishers because of their obsession
with the Nazi mystique"
Three Complete Novels: The Sixth Commandment/the Seventh Commandment/the Eighth Commandment,"Three suspenseful tales of scandal, sex, betrayal, and murder combine
in an omnibus edition that features The Sixth Commandment, The Seventh
Commandment, and The Eighth Commandment."
Double Your Income in Real Estate Sales,"Describes how to be a more effective sales person, introduces the real
estate business, and offers advice on finding qualified buyers,
providing a better service, and closing sales"
Sometimes I Wake Up Grumpy . . . and Sometimes I Let Him Sleep,"Life is filled with bedlam and blessings; it is both blemished and
beautiful.In the laugh-a-minute tradition of her best-seller, Just
Hand Over the Chocolate, Linamen again mixes a potion that helps women
find the inner strength to embrace ..."
God Bless America Caseside,"Collects thoughts and prayers about the United States, freedom,
leadership, worship, stewardship, justice, community, and service."
In the Woods : Who's Been There?,"A boy and girl in the autumn woods find an empty nest, a cocoon,
gnawed bark, and other signs of unseen animals and their activities."
Superior Women,"A New York Times best-selling novel traces the friendships and inner
lives of four varied young women who meet at Radcliffe at the end of
World War II. By the author of Medicine Men. Reprint."
Dr. Nightingale Rides the Elephant (Deirdre Quinn Nightingale Mystery),"When an elephant goes berserk and kills a beautiful dancer in a small
circus, veterinarian Deirdre Nightingale is convinced that someone
tampered with the animal, and she sets out to find the culprit before
the &quot;rogue&quot; elephant must be ..."
Piet Potter's First Case (A Piet Potter mystery),"Amazing boy detective Piet and his friend Amy track down clues that
lead to the solution of elevator tie-ups and crime."
"Rogue'S Valley (Men Made In America Series) (Men Made in America, No 12)","Forced away from the Idaho mountains by tragedy, Jason Rivers returns
after a fifteen-year absence and finds his rule of no entanglements
complicated by enticing wild-horse wrangler Sandy Stewart. Reissue."
Life in Celtic Times,"Fourteen centuries of Celtic life and culture are depicted in over 40
well-researched, excellently rendered illustrations."
Holy Fire: A Novel (Bantam Spectra Book),"Praised for his knowledge of contemporary computer culture, the author
of Heavy Weather presents a novel set in the twenty-first century, in
which a bionic woman becomes swept into a world of simulated
environments and heightened perception ..."
The Usborne Book of World History (Guided Discovery Program),"This book contains an introduction to world history from the first
civilisations to the early 20th century, in short visual chapters."
From Socrates to Sartre: The Philosophic Quest,"Surveys the essential features, schools, systems, and developments in
Western philosophy From Socrates To Satre formed the basis for the PBS
television series of the same name."
Technostress,"Explains how and why technology increases stress, and offers tools and
techniques to help cope with the changes of modern life"
Liner Notes,"After finishing graduate school, Laney envisions driving across
country by herself with only her box of mix tapes as her companion,
but her plans quickly change when her mother decides to join her on
the journey."
The Messenger: The Rise and Fall of Elijah Muhammad (Vintage),"In this explosive biography, investigative journalist Karl Evanzz
recounts the multidimensional life of a semiliterate refugee from the
Jim Crow South who became the influential founder of the Nation of
Islam."
Das groÃ?Â?e Mittelerde-Lexikon. Ein alphabetischer FÃ?Â¼hrer zur Fantasy-Welt von J.R.R. Tolkien.,"Personen, Schauplätze, Begriffe, Hintergründe: das fundierteste
Lexikon zur Fantasy-Welt von J. R. R. Tolkien, bearbeitet und ergänzt
von Helmut W. Pesch Das Standardwerk zur Welt des Herrn der Ringe, des
Hobbit und des Silmarillion."
Jump Start Your Brain,"Jump Start Your Brain is filled with the practical, tactical advice he
uses in his corporate seminars."
Foreign Affairs,"Four women are at crossroads in their lives, facing difficult
decisions and badly in need of a holiday."
"If You Were an Astronaut (Golden Look, Look Book)","Photos and simple text describe the activities of astronauts aboard
the space shuttle."
Fear Street. Teufelskreis. Es gibt kein Entkommen... ( Ab 12 J.).,"Natalie und ihre Freunde begehen nach einem Autounfall Fahrerflucht.
Bald darauf erfahren sie, dass ein Mensch dabei ums Leben gekommen
ist."
Secret Warning (Hardy Boys Mystery Stories),"More information to be announced soon on this forthcoming title from
Penguin USA"
Spiritual Midwifery,The classic book on home birth.
The Encyclopedia Of Oil Painting Techniques: A Comprehensive Visual Guide to Traditional and Contemporary Techniques,Find out what you can do with oil paints.
In the Arms of Africa: The Life of Colin Turnbull,"In this scrupulously researched biography, Roy Richard Grinker charts
the rise and fall of this colorful and controversial man—from his
Scottish family and British education to travels in Africa and his
great love affair with Joe Towles."
"Buck Fever (A Blanco County, Texas, Novel)","Shooting praise for &quot;Buck Fever&quot; &quot;This is a wild and
crazy first novel, crowded with weird people, unusual relationships
(both animal and human), and frequent humor that will appeal to fans
of Carl Hiaasen, Tim Dorsey, and other comic ..."
Managing Professional People: Understanding Creative Performance,"Uses case studies to suggest guidelines for hiring, motivating, and
evaluating professional workers, and tells how to handle the special
problems that can arise managing a creative staff"
The Alarming History of Medicine/Amusing Anecdotes from Hippocrates to Heart Transplants,"Gathers the real stories behind discoveries in medicine and humorous
anecdotes about early cures and procedures"
Necroscope: Invaders,"If Jake is the new Necroscope, he has to learn - fast!how to control
his powers and speak to the dead."
Now You See Me,"Lamb secretly inhabits the cellar of an elderly man for whom she
cleans, her life a precarious balancing act, until she meets Doggo, a
young criminal on the run."
Three Little Pigs (Golden Books for Early Childhood),"Three little pigs deal with their arch enemy, the wicked wolf, in a
lively edition of this classic tale."
The Rage of Innocence: A Novel,"Christine Boland, a brilliant young detective, finds her personal life
coming apart when she must try to unravel a crime whose roots may
reach back to the Red-baiting McCarthy era. 35,000 first printing.
$30,000 ad/promo."
"MILLION DOLLAR NIGHTMARE (HARDY BOYS 103) : MILLION DOLLAR NIGHTMARE (Hardy Boys Mystery Series, No 103)","Frank and Joe hunt for clues in high-stakes horse breeding circles as
they search for Nightmare, a thoroughbred stallion that has been
missing for three years."
"Father Found (Who'S The Daddy?) (Harlequin American Romance, No 866)","Father Found by Muriel Jensen released on Feb 22, 2001 is available
now for purchase."
"I, Rigoberta Menchu: An Indian Woman in Guatemala","Her story reflects the experiences common to many Indian communities
in Latin America today. Rigoberta suffered gross injustice and
hardship in her early life: her brother, father and mother were
murdered by the Guatemalan military."
Walt Disney's Snow White and the Seven Dwarfs (Disney's Wonderful World of Reading),"A simplified retelling of the tale in which a fair princess, left to
die in the woods, is cared for by seven little men."
The Secret Story of Polygamy,"Author Kathy Tracy examines the current state of polygamy, revealing
the shocking abuse of women that often comprises life in a polygamist
family."
Elementary Turkish,"In a carefully arranged sequence of 23 lessons, Lewis V. Thomas, late
Professor of Oriental Studies at Princeton, presents thorough coverage
that allows the student to begin to use the basic patterns of modern
Turkish without time-consuming ..."
Perelandra (Scribner Classics),"Focuses on the age-old nature and consequences of temptation as
experienced in a brand new world"
"Emerson, Our Contemporary","Portrait which reveals the American essayist and poet as a man whose
ideas are relevant to the problems of youth today"
Bxc Blue Bay Mystery,"A tortoise realizes the need for a shell after several scary
encounters."
"Comedy of Errors (China Tate Series, No 5)","When China and Deedee overhear two writers at camp talking about a
book plot which includes murder, they imagine that a real murder will
occur."
Cognition : Theory and Applications (with Study Guide and InfoTrac),"The text is automatically packaged with a FREE Study Guide that helps
students review and test their mastery."
I May Be Wrong but I Doubt It,"The outspoken former NBA player and sports commentator shares his
words of wisdom about, opinions on, and witty observations of
basketball, popular culture, personal relationships, celebrity and
fame, politics, money, and life."
Moosewood Restaurant Kitchen Garden : Creative Gardening for the Adventurous Cook,"A guide to growing and using vegetables and herbs includes valuable
tips on garden construction, gardening techniques, harvesting, and
cooking techniques. Simultaneous. Major ad/promo."
Digital Character Animation,"This book covers the essential information computer animators need to
generate believable characters in 2D and 3D on the computer. The book
covers the nuance and technique of character animation in great
detail."
Time Journeys,"This book explores such provocative concepts as synchronicity, time
travel, black holes, and artificial intelligence."
A Cup of Hope,"Now available for the first time in paperback, &quot;A Cup of
Hope&quot; is a special book rich in the life experiences, prayers,
and deepest thoughts of a woman who takes each day in step with her
God."
Through Death to Rebirth,The nature and method of reincarnation.
A Pound of Paper : Confessions of a Book Addict,"A book collector offers his recollections of his encounters with
literary figures and traces his transformation from an Australian bush
child to a Parisian penthouse occupant with a personal library worth
millions."
Fraud (Vintage Contemporaries),"Solitary London resident Anna Durrant has disappeared from her flat,
and it takes four months for anyone to notice. By the author of Brief
Lives. Reprint. 25,000 first printing."
Diablo Guardian,"Tampoco sabe que Nefastófeles, el supuesto rico heredero que la
deslumbra, será como una daga clavada en su bella espalda hasta que,
ya de vuelta en México, se tope con Pig, y llegue entonces la hora del
Diablo Guardián."
Gunpowder Legacy,"In a land where killing is a way of life, young Clay Allison, named
after the deadliest gunfighter in the New Mexico territory, can hold
his ground against any man--even Black Jack Ketchum. Original."
The Snow Angel,"Elsa thinks her little brother imagines seeing a snow angel until she
meets the angel herself."
The Seventh Gate (Death Gate Cycle (Paperback)),"Henry is generally well-behaved, but he is occasionally arrogant and
vain. Henry is at heart a hard worker, but his frequent bouts of
illness hinder his work."
Alicia's Treasure,"Describes why and how such creatures as squids, scallops, devil fish,
and sea otters swim--for protection, for pleasure, and to get around."
Till Dawn Tames the Night,"Lured from her London orphanage to the wilds of Jamaica, ravishing
Aurora Dayle must contend with Vashon Blackwell, a ruthless pirate who
wants a priceless emerald to which only Aurora can lead him, but who
also desires the ultimate prize"
Will the Nurse Make Me Take My Underwear Off?: And Other Mysteries of Life As Revealed by Eric Mason,"Eric Mason is a teenager worried about everything from allergies to
AIDS, and now he is going public with his diary to help teenagers with
the questions everyone is too embarrassed to ask."
Dreadful Acts (Eddie Dickens Trilogy S.),"The hilarious adventures of Eddie Dickens continues in this best-
selling trilogy"
Ito ou la vengeance du samouraÃ?Â¯,"Un soir de fête, le jeune Ito assiste au massacre de ses parents par
la terrible bande du cruel Kiomasa."
Only in Your Arms,"Fleeing an impending marriage with a man she loathes, Lysette Kersaint
is nevertheless forced to marry someone equally unappealing--notorious
master duelist Maximillian Vellerand--who awakens her desires in
surprising new ways."
The Unusual Life of Tristan Smith,"A freak, Tristan Smith, the child of a famous actress and an unknown
father, sets out to transform himself and his life, following a
circuitous path that leads, ultimately, to the Sirkus, an immensely
popular form of entertainment. 30,000 ..."
Natural Prescriptions: Dr. Giller's Natural Treatments and Vitamin Therapies for More Than 100 Common Ailments,"A step-by-step treatment plan combines natural medicine with the most
recent research, offering accessible remedies for more than one
hundred common conditions and providing specific information on
nutrient amounts and length of dosage time ..."
Il Gattopardo,"Il suo capolavoro, Il Gattopardo, pubblicato un anno e mezzo dopo la
sua morte, rimase a lungo inedito, rifiutato da molti ediori, ma al
suo apparire fu subito riconosciuto come una delle massime opere
letterarie del nostro secolo."
Search for the Shadowman (Joan Lowery Nixon),"While working on a genealogy project for his seventh grade history
class, Andy Bonner becomes determined to solve the mystery surrounding
a distant relative who was accused of stealing the family fortune."
"Babies and Other Hazards of Sex : How to Make a Tiny Person in Only 9 Months, with Tools You Probably Have around the Home","A syndicated humorist discusses natural breathing and techniques to
endure the ordeal of baby showers"
Systems Analysis and Modeling: A Macro-to-Micro Approach with Multidisciplinary Applications,"Professor Boyd has developed his book for courses for professionals
based on utilizing matrix algebra and knowledge engineering so that it
is highly accessible without requiring a complete background in
systems engineering. The book will p."
Warriors: Navajo Code Talkers,"The American offensive in the Pacific during World War II [was]
hampered by the Japanese ability to crack the most secret U.S. Codes.
Navajo was virtually unknown outside the reservations, ... and [their]
code proved uncrackable."
"BLD: Breakfast, Lunch, Dinner","A recipe book to take to the kitchen, to spatter with olive oil and
mark with sticky fingers, to enjoy, and to come back to time and
again."
Must the Maiden Die (Seneca Falls Historical Mysteries),"As news of the Civil War begins to be heard in Seneca Falls, a young
woman tries to hide in wedding preparations for her niece, but the
murder of a local businessman makes that impossible. Reprint."
Understanding Depression: A Complete Guide to Its Diagnosis and Treatment,"A definitive guide to depressive illness dispels myths about
depression and biological depression, and discusses various types of
treatments available, from antidepressants, to electroconvulsive
therapy, to psychotherapy."
FORGIVE AND FORGET,"In Forgive and Forget, Lewis B. Smedes show you how to move form
hurting and hating to healing and reconciliation."
TRUE BLUE HAWAII CLUELESS TV TIE IN,"Organizing a class trip to Hawaii, Cher finds her dreams of whales,
shopping, and beach boys paling in the face of such major
disappointments as a volcano, a flash flood, and monster waves."
Hush,"Sixteen years after her own son fell victim to a serial killer,
criminal profiler Ivy Dunlap is called in by the Chicago police to
help them find the Madonna Murderer, an unknown killer who has
returned to stalk the city, and Ivy must ..."
"Portrait of Love (Sweet Dreams, No 37)","Samantha attempts to win the love of Tony, even though he appears to
be only interested in art and pays no attention to her."
Planets in House : Experiencing Your Environment Planets,"What Robert Pelletier does in Planets in Houses has never been done
before in the history of astrology."
"Baby Bonus (The Baby Bank) (Desire, 1295)","The Baby Bonus by Metsy Hingle released on Apr 24, 2000 is available
now for purchase."
Schmetterling und Taucherglocke.,Bauby selbst hat die Hoffnung nie aufgegeben.
The Complete Snowboarder,"Introduces snowboarding, offers advice on board selection, and
demonstrates basic and advanced techniques"
"Faith, Science and Understanding","In this captivating book, one of the most highly regarded scientist-
theologians of our time explores aspects of the interaction of science
and theology."
The Brave Little Steam Shovel,"Sandy a small steam shovel and he dreamed that when he left the
factory that he would be used to dig cellars, swimming pools and
playgrounds but after he was sold his first job was to dig a cellar
for a school but when he hit a big rock he ..."
Nostradamus: Prophecies for America,"In the light of the recent tragedy that has changed our world, David
Ovason, the foremost expert on the prophecies of Michel Nostradamus,
has reexamined the writings of the 16th Century French seer."
La novia de Matisse,"Pero el arte también arrastra maleficios, sobre todo cuando obligan a
vivir a la altura de su seducción.» Manuel Vicent"
Ice Cream,"In a first collection to be published in the United States, a
cafeteria cook confronts her Polish pen pal, a divorced mother gains
insight from a parking meter, a thin celebrity gives in to the lure of
comfort food, and a soulful woman ..."
You Be the Jury (You Be the Jury),"The reader is provided evidence for ten courtroom cases, and must
decide whether each defendant is guilty or innocent. The court is now
in session, and you are the jury. You examine the evidence. You spot
the clues."
"The Living God (A Handful of Men, Part 4)",The sorcerer Zinixo had declared himself the Almighty.
"125 Cookies to Bake, Nibble, and Savor","Offers advice on baking equipment and techniques, and shares recipes
for shortbread, butter cookies, sugar cookies, chocolate chip cookies,
bar cookies, brownies, macaroons, tea cakes, and truffles
quot;Especially for Holidays."
Going Home Grown Up: A Relationship Handbook for Family Visits,"Psychotherapist Anne Grizzle outlines a path wholesome independence
from parents for adult children who revert to destructive, immature
patterns in their relationships with mothers and fathers.t"
The Exploits of Sherlock Holmes: A Collection of Sherlock Holmes Adventures Based on Unsolved Cases from the Original Sir Arthur Conan Doyle Stories,Stories feature the classic detective
Queer Fear 2: Gay Horror Fiction,"Building on the success of its groundbreaking predecessor, winner of
the Queer Horror Award and a finalist for a Spectrum Award and two
Lambda Literary Awards, this second volume includes new work by the
stars of the first volume."
"The Revolution Will Not Be Televised : Democracy, the Internet, and the Overthrow of Everything","The former campaign manager for Howard Dean explains how he used the
Internet to transform an obscure presidential candidate into a front-
runner at the heart of a national grassroots movement."
Making Minutes Count Even More,"Guide focuses on the mathematics classroom and includes class openers,
tips on improving teacher communication with students, raising the
level of motivation, making effective lesson plans, developing a
partnership with parents, and dealing ..."
Avoiding Prison and Other Noble Vacation Goals: Adventures in Love and Danger,"The author describes her travels to such locales as Cuba, Lebanon, and
Costa Rica, and the romances she has along the way."
There's a Nightmare in My Closet,"&quot;Childhood fear of the dark and the resulting exercise in
imaginative exaggeration are given that special Mercer Mayer treatment
in this dryly humorous fantasy&quot;.--School Library Journal. Full-
color illustrations. Copyright © Libri GmbH."
"Stop Stealing Sheep & Find Out How Type Works, Second Edition","This edition is revised and updated to include new chapters on Web
typography and other forms of online text display."
House with a Clock in It's Walls,"For years, young readers have crept, crawled, and gone bump in the
night with the unlikely heroes of these Gothic novels: Lewis
Barnavelt, Johnny Dixon, and Anthony Monday. Now, the ten top-selling
titles feature an updated cover look."
Come the Morning,"In the days when Scotland lay under siege - from the Vikings who
sailed down from the North and the Norman English who brought their
armies up from the South - King David sought to unite his people into
one nation."
Lord Abberley's Nemesis (Signet Regency Romance),"In order to save the family estate from an unscrupulous aunt, Margaret
Caldecourt is determined to acquire the help of Adam Fortescue, the
roguish Earl of Abberley"
Why Am I Afraid to Love?,"Rather than expose a self we imagine to be inadequate or ugly, we
build walls to protect ourselves from rejection we fear from others.
Powell teaches how to tear down these walls and realize our full
potential for love and life."
Kentuckiana,"Told by each of its characters in turn, a wry, meta-fictional
chronicle of the life of one high-strung, working-class family from
Lexington, Kentucky, follows them through the turbulence of the
sixties and seventies. UP."
"Ibicaba, das Paradies in den KÃ¶pfen: Roman",Anmerkung: In der Namenliste entdeckt man einige Freiburger.
