title,description
How Good Is Your Chess?: Rate Your Skill and Improve Your Strategy by Participating in 35 Master Games,"How good is your chess? Find out with this collection of 35 master
games arranged and scored for self-quizzing."
The Pleasures of Counting,"One answer is that they are all examples chosen by Dr Tom Körner to
show how a little mathematics can shed light on the world around us,
and deepen our understanding of it."
"Change Of Plans (Intimate Moments, No 280)",9
Butterfly Lost (Laura Winslow Mysteries),9
A proper holiday,"Set against the background of momentous economic changes over the last
decade, this work examines the economic, political and social
circumstances that have led to the current crisis in rural
Newfoundland."
"Assignment: Baby (9 To 5) (Romance, 3688)","Assignment: Baby by Jessica Hart released on Jan 25, 2002 is available
now for purchase."
The Album,9
"John Paul Jones : Sailor, Hero, Father of the American Navy","Traces the naval hero&#39;s modest Scottish origins, the circumstances
that brought him to America under a charge of murder and a false name,
his sea battle achievements, and his acclaim by such figures as
Washington, Jefferson, Adams, and ..."
What's My Type?,"The Helper can move from over-involvement in the lives of others to
mutual relationships and become a Partner. Inspirational, easy-to-use
and practical -- What&#39;s My Type? puts the Enneagram system to work
for you."
Texaco,9
The Gold Cadillac: A Fancy New Car and an Unforgettable Drive,"Two African-American girls living in the North are proud of their
family&#39;s beautiful new 1950 Cadillac, until they take it on a
visit to the South and encounter racial prejudice for the first time.
Reprint."
Golden Wind: Zen Talks,"A book of teisho--an inspirational Zen talk or lecture--given by a
master to pass on the teachings of Buddha."
La Mandolina del Capitan Corelli,9
Looking for Lacey,"Determined to change her life, proper Lacey Wright finds herself the
new manager of a local sports bar, but her determination to make a
success of her new job is undermined by her irresistible new boss,
football legend Bobby McIntyre."
"The Stolen Throne (Time of Troubles, Book 1)","Receiving a prophetic warning just before war is declared between two
rivaling empires, young Abivard watches his father and king fall in
battle and a greedy bureaucrat capture the crown. Original."
Die Frau im KÃ?Â¼hlschrank.,9
Force Majeure,"Denied success as a screenwriter, Bud Wiggins finds himself travelling
through the seedier side of Hollywood, observing the world of
absurdity, horrors, and mysteries. By the author of Wild Palms.
Reprint."
The Wall Street gospel,9
HEIRLOOM,9
Haunted America Star Spangled Supernatur,9
"Selim Oder Die Gabe Der Rede (Fiction, Poetry and Drama)",9
Why Didn't I Think of That?: From Alarm Clocks to Zippers,9
Alton Brown's Gear for Your Kitchen,"The popular host of Food Network&#39;s Good Eats presents an offbeat
look at kitchen gadgets and equipment that explains how to select the
best--and simplest tool for the job and offers practical advice on
what is needed, what is not, what ..."
Ultimate Journey: Retracing the Path of an Ancient Buddhist Monk Who Crossed Asia in Search of Enlightenment,"Juxtaposing his experiences with those of Hsuan Tsang, Bernstein
reconstructs the hazards and glories of this long and sinuous route,
comparing present and past."
Illustrated Daughters of Britannia,"Accompanying their spouses in the most extraordinary, tough, sometimes
terrifying circumstances, this book is an account of the courageous
and unusual women who have been the backbone of the foreign service."
Exceptional Clearance,9
Home Cooking With Amy Coleman (Pbs Cooking Series),"A collection of recipes from many of cookbook authors and food
personalities. It includes starters, side dishes, soups, salads, small
dishes, main dishes, and desserts. It offers easy-to-find ingredients
and easy-to-follow instructions."
HTML Pocket Reference (2nd Edition),"Alphabetically lists and describes HTML tags, identifies and explains
tag groups and structures, offers browser support information, and
collects examples of Web page elements written in HTML."
The Rah Rah Girls,"When Marcie announces that she wants to be a cheerleader, her family
disapproves."
"Collins Gem Portuguese Dictionary English-Portuguese, Portuguese-English",9
Die Eisprinzessin. LeseRiese. ( Ab 10 J.).,9
Moon of Desire (Futuristic Romance),"When her newborn nephew is kidnapped by a mysterious brotherhood,
Calla sets out to save him, a mission that throws her into the arms of
Logan, the future leader of the group. Original."
The Catacomb Conspiracy (A Penny Spring and Sir Toby Glendower Mystery),"Penny Spring&#39;s Rome vacation is seriously disrupted with two
murders, a kidnapping, and odd noises and goings-on in and around
their holiday villa, perched above an unexcavated catacomb."
Thou Art That: Transforming Religious Metaphor,"Presents a series of previously uncollected essays focuses on
religious symbolism, guiding readers through the metaphors and
meanings most appropriate to the contemporary world."
Vampire Junction,"Timmy Valentine, teen rock star and secret vampire, tries to come to
terms with the feelings of guilt and compassion he has for his victims"
"Club de la buena estrella (Debolsillo, 338/1)","A young woman learns about her dead mother&#39;s life-long wish, and
the tragic way in which it has come true in this story about what is
lost between generations and among friends."
Miller's: Postcards : A Collector's Guide (Miller's Collector's Guides),9
101 Great Science Experiments,9
"Ni Vue, Ni Connue / Pretend You Don't See Her","Alors qu&#39;elle s&#39;apprête à vendre un bel appartement situé dans
Manhattan, Lacey Farrell, un jeune agent immobilier, est témoin du
meurtre de la propriétaire."
Art Fundamentals: Theory and Practice,9
CLOUDLESS SKY,"This book opens the way to a deeper knowledge of mahamudra, a Buddhist
system of meditation on the nature of the mind."
Hollywood Lies,9
The Place Where You Are Standing Is Holy: A Jewish Theology on Human Relationships,"A book-length study of the wisdom that Judaism imparts upon
relationships with God, self, and others."
Red Card: A Zeke Armstrong Mystery,"When thirteen-year-old Zeke moves to Dallas and joins the local soccer
team, he finds himself investigating a mystery when someone tries to
harm the coach."
Roses: Easy-Step Books,"Choose the ones that suit your taste and climate, and find out what
you need to know about planting and keeping them healthy. Then...just
sit back and smell the roses!"
The Real Life of Laurence Olivier,Chronicles the life and career of the late stage and screen actor
Die sieben Feuer von Mademoiselle.,9
"Thunder On The Reef (Presents Plus) (Harlequin Presents, No 1761)","Thunder On The Reef by Sara Craven released on Jul 25, 1995 is
available now for purchase."
Shambhala Guide to Yoga,Introduces yoga and discusses its spiritual as well as health benefits
"The Sword of Truth Box Set, Books 4-6: Temple of the Winds; Soul of the Fire; Faith of the Fallen","This Mass Market Boxed Set, is the Second Boxed Set of The Sword of
Truth series by Terry Goodkind: The Box Set includes: Temple of the
Winds, 0-812-55148-6 Soul of the Fire, 0-812-55149-4 Faith of the
Fallen, 0-812-57639-X Book 4: Temple ..."
"Journey into the Void (Sovereign Stone Trilogy, Book 3)",9
The Innocents (Wil Hardesty Novels (Paperback)),"The remains of seven children--innocents--are uncovered by a flash
flood."
More Than a Cowboy : Home on the Ranch (Superromance),"More Than a Cowboy by Peggy Nicholson released on Jun 24, 2004 is
available now for purchase."
Conquerers,9
"Shadow On The Sun (Superromance, No347)",9
Along Came Eric,Describes how Nigel adjusts to having a brother.
"Land of a Thousand Sorrows: The Australian Prison Journal, 1840-1842, of the Exiled Canadien Patriote, FranÃ¼Cois-Maurice Lepailleur","&quot;This journal tells us how being a member of convict society
affected the life of a man who was neither English, nor Scottish, or
Irish, but Québécois.&quot; (Foreword)."
Island of Steel (G.K. Hall Large Print Book Series),"Rookie detective Eddie Margolis is thrust into the world of high-
powered New York law firms to investigate the disappearance of a
junior partner and the suspicious goings-on with Gotham real estate
development"
Nightingale's Lament: A Novel of the Nightside,"Below the city of London lurks the dark underworld of Nightside where
John Taylor must use his rare talent of finding things that are lost
to investigate the disappearance of a local singer called the
Nightingale whose beautiful voice has ..."
Joy for the Heart,"A new collection of poems and quotations celebrating and contemplating
the fruit of the Spirit cited in Galatians 5:22: love, joy, peace,
patience, kindness, goodness, faithfulness, gentleness, and self-
control."
That Takes Ovaries!: Bold Females and Their Brazen Acts,"An inspirational and empowering compilation of first-person narratives
celebrates the efforts and courage of women who have fought back
against discrimination, violence, injustice, and stereotypes."
Art of the Warrior : Leadership and Strategy from the Chinese Military Classics (Shambhala Dragon Editions),Gathers selections from eight Chinese works on warfare and strategy
Thanks to My Mother,"After struggling to survive in Nazi-occupied Lithuania, a young Jewish
girl and her mother endure much suffering in Kaiserwald, Stutthof, and
Tauentzien concentration camps and on an eleven-day death march before
being liberated by the ..."
Le MÃ?Â©tier d'homme,9
Les Thanatonautes: Roman,"Analyse : Roman philosophique. Roman de science-fiction
(anticipation)."
Someone to Watch over,"At first a dream come true to Kate after her husband&#39;s tragic
death, the man who becomes her guardian angel--who anonymously repairs
things around the house--crosses the boundaries into obsession and
madness to become her greatest nightmare ..."
"The Lost Daughters of China: Abandoned Girls, Their Journey to America, and the Search for a Missing Past","Presents a cultural history of the events that led to the
controversial one-child policy in China and the subsequent generation-
long abandonment of Chinese daughters to American families."
Something Might Happen: A Novel,9
The Last Time I Saw Mother,"A woman is summoned home to the Phillipines by her aging mother, who,
along with her aunt and her cousin, reveals the startling truth about
her family&#39;s past through a series of moving, magical stories."
Harvest of Violence: The Maya Indians and the Guatemalan Crisis,9
Hindi & Urdu: A Rough Guide Phrasebook (Rough Guide Phrasebook Series),9
This Promised Land,"Near the end of the nineteenth century the Maimon family journey from
Russia to the Middle East to start a new life"
Girlz Want to Know,"Questions and answers offer girls advice on changing bodies, friends,
family, faith, boys, and the future."
I Hope You Dance,"Draws on the lyrics of the award-winning song &quot;I Hope You
Dance&quot; and expands on their ideas of courage, hope, and love to
offer inspiration and encouragement."
A Poetry Handbook,"Offers advice on reading and writing poetry, and discusses imitation,
sound, the line, poem forms, free verse, diction, imagery, revision,
and workshops"
Mondscheintarif. Das Buch zum Film,9
The House of the Spirits (G.K. Hall Large Print Book Series),9
The Teacher from the Black Lagoon,9
Ungrateful Dead,"Believing Alana Magnus to be insane when she claims that the spirit of
her dead mother is attempting to control her life and inhabit her
body, Luther Shea is horrified to discover that Alana just might be
telling the truth as they are both ..."
Matter Of Circumstance,9
Sisterhood,"When a suspicious number of patients start dying in the middle of the
night, after supposedly successful surgeries, a lone doctor risks his
life for a dedicated young nurse who unknowingly holds the answers."
I'm Dying Laughing: The Humourist,9
A Kiss in Rome (G K Hall Large Print Paperback Series),9
"Marlfox (Redwall, Book 11)","When three young residents of Redwall Abbey go on a quest to recover a
tapestry stolen by the Marlfoxes, their bravery removes the curse of
these evil animals on a lost island."
Midnight Predator,9
The Coming Cashless Society,"Describes how the convenience of automatic tellers, debit cards, and
computer shopping may cause loss of private files and personal
finanical information"
Madeline,"Madeline, smallest and naughtiest of the twelve little charges of Miss
Clavel, wakes up one night with an attack of appendicitis."
Black Sand,"United in a deadly struggle to recover a stolen ancient artifact, NYPD
Detective Lt. Teddy Lucas and Hellenic National Police Major Andreas
Vassos pursue a brutal machine-gun killer at a seaside resort"
Cinderella Sims,9
The Heaven Makers (del Rey Book),9
Max Und Moritz in Neun Dialekt,9
Ooops. Wie konnte mir denn das passieren?,9
"Unbounded Light: The Inward Journey : 15 Tales of the Inner Light from Ancient Scriptures, First Person Accounts, and Modern Science","Williams explores ancient and modern accounts, including near-death
experiences, to help modern seekers understand the search. What is the
light? An exciting read!"
"Diana-TaschenbÃ?Â¼cher, Nr.1, Das grÃ?Â¼ne Akkordeon",9
A Daughter of Han: The Autobiography of a Chinese Working Woman,"Pruitt documented this story, casting light not only onto Lao
T&#39;ai-t&#39;ai&#39;s own biography, but onto the character of life
for the common man of China, writ large."
A House for Mr. Biswas,"Owning a small portion of the Trinidad earth and a respectable house
of his own is the dream and the reality sustaining Mohun Biswas
through a life of frustration and despair after he marries into the
domineering Tulsi family."
Banshee,9
"Reading People: How to Understand People and Predict Their Behavior, Anytime, Anyplace","The jury consultant in hundreds of trials, including those of Rodney
King and O.J. Simpson, reveals to readers how others interpret their
demeanor and how they make a good impression"
Letters from California: Or He Married Me for My Drapes,9
Happy Easter! (Golden Board Book),9
Montgomery Clift : a biography,9
Australia: Four Inspirational Love Stories from the Land Down Under (Inspirational Romance Collections),Four Inspirational Love Stories from Down Under.
Catfish Ponds & Lily Pads: Creating and Enjoying a Family Pond,"In this entertaining guide, Louise Riotte tells you everything you
need to know to create a productive pond on your own land, from siting
the pond to maintaining water quality and stocking the pond with fish."
The Ransom of Mercy Carter (Laurel Leaf Books),"In 1704, in the English settlement of Deerfield, Massachusetts,
eleven-year-old Mercy and her family and neighbors are captured by
Mohawk Indians and their French allies, and forced to march through
bitter cold to French Canada, where some ..."
El pasillo de la muerte,9
"Data Communications: Facilities, Networks, and Systems Design",9
Tommy the Cork : Washington's Ultimate Insider from Roosevelt to Reagan,"Looks at the life and political career of Thomas G. Corcoran, a man
who began lobbying during FDR&#39;s tenure and helped shape policy
during every subsequent administration up the Reagan presidency."
Daddy,9
Live the Life You Love: In Ten Easy Step-By-Step Lessons,"A guide to realizing personal dreams and making them come true offers
step-by-step exercises that include rediscovering favorite childhood
activities, building self-confidence, and striving to meet set goals.
85,000 first printing."
Die glÃ?Â¤serne Insel. Die Geheimnisse von Rhiyana 1.,9
Dragon Ball Z: Legacy of Goku : Prima's Official Strategy Guide (Prima's Official Strategy Guides),Market Dragon Ball Z fans; Game Boy Advance owners
Unicorns of Balinor #3: Valley of Fear,"A fantastical tale for middle readers presents the dramatic tale of
Sunchaser and Princess Arianna and their desperate search for the
Royal Diadem and Princess Arianna&#39;s parents. Original."
Dare to Dream: Coretta Scott King and the Civil Rights Movement (Rainbow Biography),9
"It's Our World, Too!","A collection of essays about children who have made notable
achievements, arranged in the categories &quot;Taking a Stand,&quot;
&quot;Reaching Out to Others,&quot; &quot;Healing the Earth,&quot; and
&quot;Creating a Safer Future,&quot; accompanied by a handbook for
young ..."
"Longarm and the Rancher's Daughter (Longarm, 291)",9
Sleeping at the Starlite Motel: And Other Adventures on the Way Back Home,"The author of the best-selling Mama Makes Up Her Mind offers a new
collection of funny stories about Southern characters, places, and
goings-on, from leaky mansions to fishing camps to one-room
schoolhouses. 200,000 first printing. Tour."
"Memories At Midnight (The Mccord Family Countdown) (Harlequin Intrigue, No. 537)","Memories At Midnight by Joanna Wayne released on Sep 24, 1999 is
available now for purchase."
Icerigger,9
Two Weeks with the Queen (Puffin Audiobooks),9
The Spy's Bedside Book,9
The Blue Widows,". . . A Walk in the Darkness is even more slick and tight than its
predecessors.&quot;-The Boston Book Review &quot;The trail is as a
torturous as a John LeCarré tale. . . . Land&#39;s writing is slick
and the action is swift."
In That Quiet Earth,9
The Adventures of Sherlock Holmes (Oxford World's Classics),9
Testosterone Inc.: Tales of CEOs Gone Wild,"At the center of this story is Jack Welch, the biggest of America’s
rock star CEOs and the former head of General Electric Co., surrounded
by “mini-me” CEOs Ron Perelman of Revlon, Al Dunlap of Sunbeam, and
Dennis Kozlowski of ..."
Kings of Texas : The 150-Year Saga of an American Ranching Empire,"Tells the story of South Texas&#39; King Ranch and the family that
built one of the world&#39;s largest cattle empires."
Alex,9
Prince of Chaos (The Amber Novels),"Merlin Corey travels to the Courts of Chaos, where he discovers the
reasons behind many of the forces that have shaped his life"
The Divine Romance (Collected Talks and Essays),9
The Golden,"In a gothic netherworld of underground canals, arched chambers, and
crumbling statuary, the members of the Family, a race of Vampires,
gather to discuss their future. Original."
My brother Sam is dead,"Recounts the tragedy that strikes the Meeker family during the
Revolution when one son joins the rebel forces while the rest of the
family tries to stay neutral in a Tory town."
Starman Jones,9
Survival Guide to School,9
The Free Speech Movement: Reflections on Berkeley in the 1960s,"&quot;This is a superb book. We are well-launched into a new
generation of &#39;60s scholarship, and The Free Speech Movement will
be at the center of it."
Fresh Tracks: Writing the Western Landscape,"&quot;This is an exceptionally forceful collection, substantial,
evocative and enduring, much like the region of Canada the writers are
addressing."
And It Was Good : Reflections on Beginnings (Wheaton Literary Series),"In these reflections on the first part of Genesis, L&#39;Engle shares,
with warmth and extraordinary perception, her insights on the
character of the Creator and the quality of his creation."
Complete English poems (Everyman's library),"This new Everyman edition of Milton contains the complete English
poems and-uniquely-his most important prose works, Of Education and
Areopagitica."
Landmarked: Stories of Peggy Simson Curry,9
The Outsiders,"Three brothers struggle to stay together after their parents&#39;
death, as they search for an identity among the conflicting values of
their adolescent society."
Intercultural Interactions : A Practical Guide (Cross Cultural Research and Methodology),"This new edition of Intercultural Interactions presents a fully
updated set of training materials which have been developed to form
the basis of a variety of cross-cultural orientation programmes."
Was die Welt nicht braucht. Von Chatten bis Waschbrettbauch.,9
White Snow Bright Snow,"When it begins to look, feel, and smell like snow, everyone prepares
for a winter blizzard."
Great Potato Cookbook,9
The Great Commanders of World War II: The Germans,9
The World of Normal Boys,"Living in suburban New Jersey in the 1970s is quiet for Robin until
his brother is killed in an accident, causing the relationship with
his family to deteriorate as he rebels against his middle-American
lifestyle."
My Life As a Snow Bunny,"Forced on a ski vacation with her father and his new girlfriend,
16-year-old Jo Vincent falls for her ski instructor--and learns
braving the slopes is easier than navigating the ways of the heart.
Original."
Cornuts i pagar el beure: El discurs anticatalÃ  a la premsa espanyola (Columna assaig),9
Cats: Homoeopathic Remedies,9
The Enchanted Land: Myths and Legends of Brtiain's Landscape,"Describes the legends and folklore associated with particular natural
and man-made characteristics of the British landscape, and suggests
sites to visit"
Le Livre Du Rire Et De Loubli,"C&#39;est un roman sur Prague et sur les anges, sur le rire et sur
l&#39;oubli."
Falling Backwards,9
"The Complete Dog Book: A Comprehensive, Practical Care and Training Manual and a Definitive Encyclopedia of World Breeds",9
Earth from Above: 366 Days,9
Then Came You,"Reckless and wild, beautiful Lily Lawson delights in shocking proper
London society and in breaking any rule to flaunt her independence."
Telling Lies,"Through her beautifully crafted prose, Sophie Marceau has written a
compelling exploration of female identity."
ART THE ARTS & THE GREAT IDEAS,"This latest contribution by prolific philospher Mortimer J. Adler
traces the historical permutations of pivotal words like art, idea,
and significance. Readers ultimately discover how the great ideas are
related to the arts."
Steal This Book,9
The Ghost and Lady Alice,9
A NATURAL HISTORY OF SEX,"Using examples from the full biological spectrum--from fungi to man--
the author applies modern evolutionary logic to explain the genetic
underpinings of sexual behavior"
A Great Deliverance,9
Gardens of the Imagination: A Literary Anthology,9
"501 Japanese Verbs: Fully Described in All Inflections, Moods, Aspects and Formality Levels",9
Roc and a Hard Place,"In the land of Xanth, Roxanne Roc, a bird, must stand trial before
Demoness Metria and Magician Humfrey"
The American Heritage College Dictionary/Deluxe/Indexed,9
Patriots,9
Batman: The Dark Night Returns,9
A White Merc With Fins (Vintage Contemporaries),"Finding himself out of work, without prospects, and living in a shack
in his older sister&#39;s backyard, a disaffected, balding, twenty-
eight-year-old man who spends his evenings at the local pub plans a
bank heist to solve all of his problems"
Donna Kooler's 555 Fabulous Cross-Stitch Patterns,"Page after page filled with phenomenal cross-stitch designs based on
virtually every theme under the sun -truly a needleworker&#39;s dream."
"A Wife After God's Own Heart (George, Elizabeth)",9
Blues and Trouble: Twelve Stories,"Exploring the diverse landscape of American life, twelve stories
capture the lives of people caught between circumstance and their own
natures or on the run from fate, from a Jewish couple encountering a
dealer in Nazi memorabilia to the ..."
"Wechsel- Wind. ( Xanth, 20).",9
Facing the Fire: Experiencing and Expressing Anger Appropriately,"Describes how repressing anger can have profound effects on personal
health and guides readers step by step through the process of getting
past fears that prevent honest expressions of anger"
Mister Sandman: A Novel,"Presents the life of the Canary family, with Doris and Gordon, both
closeted homosexuals, and Joan, their daughter&#39;s illegitimate
child that they pass off as their own."
Monkey shines,9
Unit 731: Japan's Secret Biological Warfare in World War II,9
"Bastardo, El",9
The Diviners,9
"Farewell, my lovely",9
Buzz Cut,"In an action-packed thriller, Thorn--the hero of Gone Wild--confronts
a madman who hijacks a cruise ship and threatens to kill the crew one
by one, beginning with Thorn&#39;s best friend."
Venedig. Die vier Jahreszeiten.,9
Alone with the Dead (Joe Keough Mysteries (Paperback)),New York City is in the grip of a nightmare.
Claude Monet,9
Michelangelo: Pieta,"This beautiful art book contains 150 stunning photos of
Michelangelo&#39;s greatest masterpiece that truly inspire in the
reader a spirit of prayer and love of Jesus and Mary."
Emergency Animal Rescue Stories: True Stories About People Dedicated to Saving Animals from Disasters,9
Reflexions de sala i alcova,9
Chains Of Regret,"Chains Of Regret by Margaret Pargeter released on Oct 25, 1983 is
available now for purchase."
Sie zu lieben.,9
Patriotisms,9
The Beduins' Gazelle (Harper Trophy Books (Paperback)),". This book glitters with the intelligence and skill of a gifted
storyteller, and will sweep readers along on an exotic, satisfying
adventure.’ —Pointer/Kirkus Reviews An American Bookseller Association
Pick of the Lists, 1996 A Book ..."
Violin/Open Market Edition,9
Pulse Points,9
Dunedin,"In a story set in nineteenth-century New Zealand and modern London,
Jack Mackenzie, a minister and amateur botanist, arrives in Dunedin,
only to be expelled from New Zealand, an event that has profound
repercussions for his present-day ..."
Timegates,"A collection of stories brings readers from everyday realities to the
infinite vistas of time and space and includes contributions by such
prominent writers as Ursula K. Le Guin and Joe Haldeman. Original."
Our Violent Earth (Books for World Explorers),9
Dreamweaver 4 Virtual Classroom,"This book&#39;s casual, non-technical writing style and easy-to-
follow, step-by-step approach combine to teach you all the Web page
authoring essentials."
The Diamond Waterfall,9
McBroom's Wonderful One-Acre Farm: Three Tall Tales,"When Josh McBroom learns that the eighty acres of Iowa farmland
he&#39;s purchased are all stacked up on top of each other at the
bottom of a muddy little pond, he thinks he&#39;s been bamboozled."
Cause For Alarm,"Cause For Alarm by Erica Spindler released on Jan 25, 1999 is
available now for purchase."
"Evil Code: The Executioner #177 (The Executioner : Mack Bolan, No 177)",9
Wrench,9
The Woman of Wyrrd,"The author describes a mystical journey in which she returned to
medieval England as a young woman named Catherine, studied under
Grandmother, the Woman of Wyrrd, and was initiated into the Sisterhood"
The Beyond,9
"Gunslinger Tower 1 (Dark Tower, No 1)","The story of a haunting figure who embodies the qualities of the lone
hero through the ages from ancient myth to frontier western legend."
"Series of Unfortunate Events #9:The Carnivorous Carnival CD (Series of Unfortunate Events, 9)",9
Don't Tell Alfred,9
This Is My House First Little Learners,Learning is always fun with the lovable characters of Richard Scarry.
Goya,"A portrait of the legendary Spanish artist provides a study of his
life and varied works from the context of the turbulent world of
eighteenth- and early nineteenth-century Spain."
For Those Who Hurt,9
Douze contes vagabonds,"Une femme prise en auto-stop par l&#39;autobus d&#39;un asile
d&#39;aliénés se retrouve enfermée."
Diccionario espaÃ±ol/inglÃ©s inglÃ©s/espaÃ±ol: Bantam,"For businessmen, students, and travelers comes one of the most
complete, compact Spanish and English dictionaries available."
"The Works of Jane Austen: Minor Works (The Oxford Illustrated Jane Auston, Vol.6)",9
"Lady And The Sheriff (Silver Creek County) (Silhouette Special Edition, No 1103)","The Lady And The Sheriff by Sharon De Vita released on Mar 25, 1997 is
available now for purchase."
Child Is Born,9
The Body Politic,"When Vice President Vandercleve dies unexpectedly, the president&#39;s
staff decides to postpone the announcement for political reasons."
M.D.: Doctors Talk About Themselves,"Candid discussions with more than seventy physicians of different
backgrounds reveal the pressures they face and the doubts, successes,
and failures, they have experienced"
The Skies Of Pern,9
"Expecting The Boss'S Baby (Million-Dollar Men) (Silhouette Desire, No 1338)","The Silhouette Romance Series, like the Harlequin Series, is a well-
loved romance line offered by Thorndike Press in a library hardcover
format."
Microsoft Office 97: Introductory Concepts and Techniques,9
Surfing Samurai Robots,"Zoot, an alien detective from the planet T&#39;toom, investigates the
disappearance of America&#39;s surfing robots"
La Marea Roja,9
